p (mbar),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),T (degC)
990.68,87.7,4.59,4.02,0.56,2.53,4.06,1279.58,4.14,6.25,14.12,-3.86
991.08,89.3,4.35,3.88,0.47,2.44,3.92,1283.5,6.11,7.75,19.12,-4.57
992.28,89,4.04,3.59,0.44,2.26,3.62,1289.88,5.7,7.63,31.42,-5.54
993.78,87.5,3.71,3.25,0.46,2.04,3.27,1297.28,6.14,9.38,26.8,-6.63
994.69,75.4,3.36,2.54,0.83,1.59,2.55,1305.05,7.29,10.38,20.94,-7.9
996.1,76,2.87,2.18,0.69,1.36,2.19,1317,3.74,5.25,14.93,-9.9
997.11,77.1,2.66,2.05,0.61,1.28,2.05,1323.34,2.54,4,18.33,-10.88
997.6,81.8,2.31,1.89,0.42,1.18,1.89,1332.96,1.6,2.63,355.5,-12.63
997.76,84.5,2.13,1.8,0.33,1.12,1.81,1338.15,0.95,2.5,342.2,-13.59
998.25,85.5,2.05,1.75,0.3,1.09,1.75,1341.36,1.78,2.5,348.7,-14.08
998.14,87.3,1.88,1.64,0.24,1.02,1.64,1346.73,1.08,2.5,13.16,-15.13
998.37,87.7,1.65,1.44,0.2,0.9,1.45,1355.33,0.37,1,58.44,-16.69
998.37,88.6,1.73,1.53,0.2,0.96,1.54,1352.13,1.15,1.75,350.7,-16.09
998.46,87.3,1.86,1.63,0.24,1.01,1.63,1347.7,1.63,2.38,24.18,-15.23
998.03,82.5,1.96,1.62,0.34,1.01,1.62,1343.94,2.44,3.25,25.76,-14.62
996.8,68.63,2.54,1.74,0.8,1.09,1.75,1325.96,0.95,1.75,5.07,-11.45
996.27,73.2,2.42,1.77,0.65,1.11,1.78,1328.29,1.87,2.38,18.27,-12.05
996.24,83.4,1.91,1.59,0.32,0.99,1.6,1343.2,0.98,1.5,350.9,-14.94
995.88,85.8,1.66,1.42,0.24,0.89,1.43,1351.55,1.96,2.5,250.7,-16.61
995.54,85.5,1.43,1.22,0.21,0.76,1.23,1360.41,0.62,1,224.9,-18.35
995.28,84.6,1.3,1.1,0.2,0.69,1.1,1366.13,1.07,1.75,220.6,-19.47
994.66,85.5,1.13,0.96,0.16,0.6,0.97,1374.01,0.69,1.13,145.1,-21.07
994.14,83.8,1.08,0.91,0.18,0.57,0.91,1376,0.68,1.25,173.3,-21.56
993.84,82.8,1.03,0.86,0.18,0.54,0.86,1378.39,0.77,1.38,159.6,-22.07
993.14,84.1,1.06,0.89,0.17,0.56,0.9,1375.93,0.94,1.75,150.1,-21.8
992.37,83.5,1.03,0.86,0.17,0.54,0.86,1376.69,0.81,2,180.9,-22.13
992.24,82.7,0.99,0.82,0.17,0.51,0.82,1378.84,0.67,1.13,173.9,-22.55
992.17,81.3,1.1,0.89,0.21,0.56,0.9,1372.13,1.66,2.25,141.4,-21.35
992.41,81.8,1.39,1.13,0.25,0.71,1.14,1358.1,0.73,1.5,216.9,-18.71
991.71,83.8,1.89,1.58,0.31,0.99,1.6,1337.61,1.1,2.25,189.7,-15.04
991.58,85.5,2.42,2.07,0.35,1.3,2.08,1321.93,1.79,3.75,138.3,-12.06
992.21,88.4,2.95,2.61,0.34,1.64,2.63,1310.05,0.93,2,126.2,-9.58
993.25,88,3.23,2.84,0.39,1.78,2.86,1305.62,0.48,1.13,109.1,-8.43
994.49,87.4,3.48,3.05,0.44,1.91,3.06,1302.32,0.45,1.63,99.7,-7.45
996.09,91.5,3.22,2.95,0.27,1.84,2.96,1309.35,0.23,0.75,85.2,-8.44
997.7,91.1,2.67,2.43,0.24,1.52,2.44,1323.67,0.74,1.25,132,-10.83
998.71,91.4,2.69,2.46,0.23,1.53,2.46,1324.45,0.42,0.88,174,-10.72
1000.02,92.3,2.5,2.31,0.19,1.44,2.31,1330.92,0.23,0.63,175,-11.64
1001.21,90.1,2.21,2,0.22,1.24,1.99,1340.3,1,1.5,223.3,-13.13
1001.96,89.1,2.37,2.11,0.26,1.31,2.11,1337.03,0.34,0.75,210.7,-12.31
1002.52,89.9,2.65,2.39,0.27,1.48,2.38,1330.45,0.3,0.63,173.9,-10.9
1003.7,89.7,2.83,2.54,0.29,1.58,2.53,1327.79,0.7,1.5,181.2,-10.08
1004.36,81.7,3.6,2.94,0.66,1.82,2.93,1313.19,0.39,1,163.8,-7.02
1004.33,80,3.65,2.92,0.73,1.81,2.91,1312.26,2.13,3.5,146.3,-6.84
1003.8,77.5,4.4,3.41,0.99,2.11,3.39,1299.54,2.94,4.13,150.4,-4.42
1003.4,80.1,4.17,3.34,0.83,2.08,3.33,1302.35,0.83,2,172.2,-5.1
1003.61,90.9,3.4,3.09,0.31,1.92,3.08,1315.85,0.86,1.25,243.8,-7.77
1003.75,91.5,2.93,2.68,0.25,1.66,2.67,1325.72,1.17,1.63,216.2,-9.67
1004.11,90.3,2.63,2.38,0.26,1.47,2.37,1333.07,0.8,1.5,191,-11
1004.11,91.2,2.41,2.2,0.21,1.36,2.19,1338.78,0.48,0.75,153.6,-12.1
1003.69,91.2,2.1,1.91,0.18,1.19,1.9,1347.14,1.15,1.63,218.2,-13.8
1003.23,89.9,1.96,1.77,0.2,1.1,1.76,1350.72,0.46,1,70.4,-14.59
1003.5,88.7,1.78,1.58,0.2,0.98,1.58,1357.2,0.61,1,151.1,-15.74
1003.15,88.3,1.64,1.45,0.19,0.9,1.45,1361.98,0.35,0.63,115,-16.72
1003.29,87.6,1.6,1.4,0.2,0.87,1.4,1363.85,0.92,1.63,142.2,-17.03
1003.1,87.8,1.6,1.41,0.2,0.87,1.4,1363.53,0.21,0.75,169.9,-17.02
1003.66,87,1.7,1.48,0.22,0.92,1.48,1360.43,0.35,0.75,104.3,-16.3
1003.56,82.9,2.39,1.98,0.41,1.23,1.97,1338.72,0.96,1.75,144.4,-12.21
1002.79,66.82,3.77,2.52,1.25,1.56,2.51,1308.43,0.68,1.63,212.8,-6.43
1002.19,61.64,4.44,2.74,1.7,1.7,2.73,1297.19,0.69,1.63,199.3,-4.3
1002.38,73.3,3.65,2.68,0.98,1.66,2.67,1309.85,0.28,0.75,309,-6.84
1002.76,86,3.05,2.62,0.43,1.63,2.62,1321.84,1.09,1.88,198.4,-9.15
1002.88,90,2.69,2.42,0.27,1.5,2.41,1330.06,0.51,0.88,174.1,-10.73
1003.22,90.9,2.35,2.14,0.21,1.33,2.13,1339.16,0.67,1.38,190.9,-12.4
1003.73,90.4,2.3,2.08,0.22,1.29,2.07,1341.27,0.76,1.25,205.7,-12.67
1003.55,90.8,2.08,1.88,0.19,1.17,1.88,1347.59,0.47,1,105.5,-13.92
1003.68,89.6,2,1.79,0.21,1.11,1.78,1350.26,0.87,1.38,128.1,-14.39
1003.82,88.6,1.96,1.74,0.22,1.08,1.73,1351.52,0.42,1.13,146,-14.59
1003.43,89.1,1.89,1.69,0.21,1.05,1.68,1353.27,0.63,1.38,208.7,-15.02
1003.25,88.4,1.87,1.66,0.22,1.03,1.65,1353.73,0.24,0.88,129.8,-15.15
1003.89,84.3,1.88,1.59,0.3,0.98,1.58,1354.31,0.84,1.63,139.1,-15.09
1003.87,76.6,2.59,1.98,0.61,1.23,1.98,1333.97,0.52,1.25,170.5,-11.2
1002.89,65.54,3.63,2.38,1.25,1.48,2.37,1311.07,0.83,1.5,192.4,-6.92
1002.17,61.07,4.6,2.81,1.79,1.75,2.8,1294.8,0.67,1,148.1,-3.82
1002.23,61.73,4.84,2.98,1.85,1.85,2.98,1291.64,0.44,1.13,52.56,-3.16
1002.22,82.5,3.6,2.97,0.63,1.85,2.96,1310.42,0.98,1.75,219.2,-7.03
1002.27,88.5,2.97,2.63,0.34,1.63,2.62,1322.94,0.81,1.63,169.6,-9.5
1002.24,90.5,2.9,2.62,0.28,1.63,2.62,1324.41,0.77,1.75,98.8,-9.8
1002.47,92.2,2.55,2.35,0.2,1.46,2.35,1332.89,0.3,0.75,166.4,-11.39
1002.72,92.2,2.69,2.48,0.21,1.54,2.47,1329.91,0.74,1.88,109.7,-10.75
1002.77,91.1,2.38,2.17,0.21,1.35,2.17,1337.63,0.51,1,41.5,-12.22
1003.89,89.8,2.33,2.09,0.24,1.3,2.08,1340.7,0.98,1.38,198.7,-12.52
1003.84,91.7,2.27,2.08,0.19,1.29,2.08,1342.14,1.28,2.13,167.5,-12.81
1003.61,89.5,2.22,1.99,0.23,1.23,1.98,1343.26,0.66,0.88,181.3,-13.08
1004.15,90.3,2.21,1.99,0.21,1.24,1.98,1344.45,0.83,2.63,177.9,-13.17
1005.37,85.3,2.79,2.38,0.41,1.48,2.37,1330.94,0.61,1.25,185.6,-10.25
1005.16,76.3,3.33,2.54,0.79,1.57,2.53,1319.5,0.92,1.75,174.9,-8.04
1004.29,66.9,4.52,3.03,1.5,1.88,3.01,1298.56,1.92,3.25,166.2,-4.05
1003.35,61.86,5.55,3.43,2.12,2.13,3.42,1284.09,1.94,3.5,199.6,-1.31
1004.09,70.3,5.01,3.52,1.49,2.19,3.51,1291.46,0.65,2,70.4,-2.67
1004.26,80.2,4.1,3.29,0.81,2.04,3.27,1304.66,1.03,1.63,217.2,-5.34
1004.05,91.2,3.27,2.98,0.29,1.85,2.97,1318.96,1.68,2.75,174.5,-8.27
1004.11,91.4,3.28,3,0.28,1.86,2.98,1318.83,3.22,5.5,173.6,-8.23
1003.62,91.2,3.07,2.8,0.27,1.74,2.79,1322.38,1.4,4,140.5,-9.05
1002.67,86.2,3.13,2.7,0.43,1.68,2.7,1319.93,2.58,3.75,197.4,-8.8
1002.22,85.9,3.13,2.69,0.44,1.67,2.68,1319.38,2.96,4.25,179.8,-8.81
1001.67,87.7,2.93,2.57,0.36,1.6,2.57,1322.93,2.88,3.75,195.5,-9.65
1001.04,88.5,2.68,2.37,0.31,1.48,2.37,1327.79,3,4,197.5,-10.76
1000.67,84.2,3.07,2.59,0.49,1.61,2.58,1318.64,3.2,4.88,204.8,-9.06
1000.31,81.3,3.17,2.58,0.59,1.61,2.58,1316.08,2.46,3.63,202.6,-8.64
1000.04,71.3,3.99,2.84,1.14,1.77,2.84,1301.14,2.49,3.5,219.4,-5.7
998.03,60.76,5.47,3.32,2.15,2.07,3.33,1278.19,1.69,2.5,217.2,-1.5
996.6,55.59,6.44,3.58,2.86,2.24,3.59,1265.83,1.55,2.38,203.7,0.73
996.14,52.84,6.82,3.6,3.21,2.25,3.62,1261.65,2.1,3.13,199.1,1.51
995.7,66.21,5.19,3.44,1.75,2.15,3.45,1278.48,1.94,3.38,192.8,-2.2
995.32,61.99,4.87,3.02,1.85,1.89,3.03,1282.31,2.3,4.13,165.8,-3.07
994.89,60.93,4.74,2.89,1.85,1.81,2.9,1283.54,2.29,3.63,157.6,-3.44
994.23,65.92,4.2,2.77,1.43,1.73,2.78,1290.35,1.86,3.5,186.3,-5.03
993.43,66.98,4.18,2.8,1.38,1.76,2.82,1289.51,3.03,4.63,156.5,-5.07
992.39,66.7,4.35,2.9,1.45,1.82,2.93,1285.63,3.01,4.63,177.5,-4.56
991.59,68.86,4.28,2.95,1.33,1.85,2.97,1285.67,2.69,4.25,180.5,-4.78
991.07,69.76,4.24,2.96,1.28,1.86,2.98,1285.57,1.9,2.88,192.5,-4.91
990.83,64.21,4.66,2.99,1.67,1.88,3.02,1279.31,1.95,2.88,208.5,-3.66
990.6,66.91,4.81,3.22,1.59,2.03,3.25,1276.79,2.68,4.25,185.9,-3.22
991.18,57.06,5.78,3.3,2.48,2.07,3.33,1265.96,1.06,2,192.4,-0.75
990.29,47.04,7.36,3.46,3.9,2.18,3.5,1249.43,2.03,4.5,170.1,2.58
989.31,42.43,8.55,3.63,4.92,2.28,3.67,1238.6,3.14,4.63,174.7,4.7
988.82,46.81,7.96,3.73,4.23,2.35,3.77,1242.46,2.23,3,191.1,3.69
988.86,59.47,6.3,3.75,2.55,2.36,3.79,1257.34,2.06,2.88,202.7,0.42
988.63,67.55,5.33,3.6,1.73,2.27,3.64,1267.69,2.82,4.13,197.8,-1.86
988.62,65.04,5.22,3.4,1.83,2.14,3.44,1269.01,4.12,6.25,190.4,-2.12
988.78,72.8,4.54,3.3,1.23,2.08,3.34,1278.15,3.01,4,193,-4.01
988.02,73.3,4.48,3.29,1.2,2.07,3.33,1277.93,2,3.13,208.1,-4.17
987.1,79.6,3.92,3.12,0.8,1.97,3.16,1285.21,2.03,2.88,201.2,-5.92
987.1,85.6,3.68,3.15,0.53,1.99,3.19,1289.11,1.48,2.25,221.5,-6.73
986.91,88.3,2.75,2.43,0.32,1.53,2.46,1307.35,0.64,1.38,163.6,-10.43
986.8,89.5,3.06,2.74,0.32,1.73,2.78,1300.42,0.74,1.25,193.7,-9.09
987.08,90.8,2.8,2.55,0.26,1.61,2.58,1306.43,0.36,0.75,191.5,-10.21
987.3,83.4,3.21,2.68,0.53,1.69,2.71,1298.16,0.72,1.38,224.9,-8.49
987.16,77.6,3.93,3.05,0.88,1.92,3.09,1285.17,0.33,0.75,193.9,-5.89
986.63,60.61,5.78,3.51,2.28,2.21,3.55,1259.99,0.64,1.25,112.9,-0.74
986.72,64.98,5.49,3.57,1.92,2.25,3.61,1263.38,0.68,1.25,204.6,-1.46
987.18,66.45,5.48,3.64,1.84,2.3,3.69,1264.02,0.71,1.13,149.4,-1.48
987.97,80.3,5.47,4.39,1.08,2.77,4.44,1264.84,0.16,0.5,113.8,-1.51
988.85,84.2,5.31,4.47,0.84,2.82,4.52,1267.72,0.56,1.88,159,-1.9
989.29,89.9,5.85,5.26,0.59,3.31,5.31,1261.85,1.11,2.13,137.8,-0.59
989.86,88.9,6.27,5.58,0.7,3.51,5.64,1257.97,0.95,2.75,212.6,0.37
990.47,90.4,6.2,5.61,0.6,3.53,5.66,1259.46,0.9,1.63,214.5,0.21
991.21,93.2,6.12,5.71,0.42,3.59,5.76,1261.2,0.49,1.38,156.7,0.03
991.58,95,5.95,5.66,0.3,3.56,5.7,1263.44,0.95,1.75,145.1,-0.35
992.44,95.6,6.11,5.84,0.27,3.67,5.88,1262.83,0.36,1.13,168.9,0
993.15,94.1,6.05,5.69,0.36,3.57,5.73,1264.46,0.3,0.75,93.9,-0.14
993.67,94.2,6.12,5.77,0.36,3.62,5.81,1264.28,0.4,1.25,147.3,0.04
994.4,91.9,6.42,5.9,0.52,3.7,5.93,1262.19,0.19,0.63,74.7,0.68
994.83,84,7.1,5.96,1.14,3.74,5.99,1256.27,0.49,1.25,131.4,2.08
994.26,82.5,7.26,5.99,1.27,3.75,6.02,1254.11,0.74,1.63,146.2,2.39
994.65,79.5,7.53,5.99,1.54,3.75,6.02,1252.26,0.53,1,52.72,2.91
995.61,89.7,6.22,5.58,0.64,3.49,5.6,1265.89,0.27,0.63,79,0.24
996.34,94.3,5.42,5.11,0.31,3.2,5.13,1275.79,0.35,0.88,69.36,-1.63
996.68,96.2,4.87,4.68,0.18,2.93,4.7,1283.27,0.39,0.75,212.1,-3.08
997.22,97.2,4.76,4.62,0.13,2.89,4.64,1285.41,0.48,1,170.9,-3.38
997.57,97.7,4.53,4.43,0.1,2.76,4.44,1289.06,1.58,2,145.5,-4.03
997.63,97.8,4.38,4.28,0.1,2.67,4.29,1291.39,1.37,1.88,193.5,-4.48
997.95,97.7,4.23,4.14,0.1,2.58,4.14,1293.99,0.86,1.25,198.7,-4.92
998.39,97.4,4.14,4.03,0.11,2.52,4.04,1296.02,0.81,1,215.3,-5.21
998.49,97.5,4.39,4.28,0.11,2.67,4.28,1292.39,1.03,1.88,200.7,-4.46
998.83,97.6,4.39,4.28,0.11,2.67,4.29,1292.78,1.85,2.5,193.1,-4.45
999.07,97.3,4.41,4.29,0.12,2.67,4.29,1292.81,1.5,2.5,173.9,-4.39
998.74,95.7,4.77,4.57,0.21,2.85,4.57,1287.19,1.77,2.5,177,-3.33
997.81,89.2,5.78,5.16,0.62,3.22,5.17,1273.51,1.28,2,186.8,-0.75
996.91,82.3,6.63,5.45,1.17,3.41,5.47,1263.52,1.05,1.5,199.2,1.12
997.02,87,5.96,5.19,0.78,3.24,5.2,1270.53,0.19,0.5,105.5,-0.33
996.89,88.5,5.65,5,0.65,3.12,5.01,1273.92,1.59,2,209.3,-1.07
996.3,88.6,5.36,4.75,0.61,2.97,4.77,1276.58,3.64,4.38,203.9,-1.78
995.83,89,5.26,4.68,0.58,2.93,4.7,1277.25,3.69,5,197.3,-2.04
995.4,89,5.2,4.63,0.57,2.9,4.65,1277.44,2.98,3.88,205,-2.19
994.9,89.1,5.05,4.5,0.55,2.82,4.52,1278.67,2.79,3.75,190.1,-2.57
994.75,88.2,5.22,4.6,0.62,2.88,4.63,1276.36,2.2,2.88,201.4,-2.14
994.21,87,5.28,4.59,0.69,2.88,4.62,1274.95,2.52,3.75,151.2,-1.98
993.62,87.9,5.23,4.6,0.63,2.88,4.63,1274.76,2.65,3.75,179.8,-2.1
993.43,89.5,5.55,4.97,0.58,3.12,5,1270.59,2.93,4.75,172.4,-1.3
993.52,93.8,5.7,5.34,0.35,3.35,5.38,1268.87,2.89,3.88,172.9,-0.95
993.3,87.3,6.2,5.41,0.79,3.4,5.45,1263.17,3.37,4.63,167.2,0.21
992.32,84,6.68,5.61,1.07,3.52,5.65,1257.16,1.78,4.38,176.1,1.23
991.5,83.2,6.9,5.74,1.16,3.61,5.79,1253.99,1.04,1.75,256,1.68
990.96,83.6,7.09,5.93,1.16,3.73,5.98,1251.43,0.71,1.88,169.6,2.07
990.35,86.4,6.91,5.97,0.94,3.76,6.03,1252.33,2.16,3.38,168.6,1.7
990.05,91.6,6.69,6.13,0.56,3.86,6.19,1253.89,1.08,1.88,193.5,1.26
989.04,89.4,6.59,5.89,0.7,3.71,5.96,1253.67,3.78,5.63,184.8,1.05
988.68,83.8,7.42,6.22,1.2,3.92,6.29,1245.57,3.72,6,205.7,2.7
987.88,86.9,6.98,6.07,0.92,3.83,6.14,1248.44,2.72,4.75,218.1,1.85
987.77,87.9,6.88,6.05,0.83,3.82,6.13,1249.23,1.58,2,216.6,1.65
986.41,88.1,6.74,5.94,0.8,3.75,6.02,1248.88,1.8,2.75,204.1,1.36
984.65,92.9,5.93,5.51,0.42,3.49,5.6,1254.91,1.46,2.25,193.8,-0.4
982.91,93.2,6.17,5.75,0.42,3.65,5.85,1250.09,1.94,3.63,201.2,0.14
981.08,89.6,6.87,6.15,0.71,3.91,6.27,1240.84,2.62,3.88,197.6,1.62
979.41,84.2,7.48,6.3,1.18,4.01,6.43,1233.28,2.63,3.75,197,2.82
976.92,71.3,8.76,6.25,2.51,3.99,6.39,1220.28,5.26,7.13,187.4,5.05
975.71,69.1,8.36,5.78,2.58,3.69,5.92,1221.89,6.98,9.5,218.2,4.39
973.74,75,7.81,5.86,1.95,3.75,6.02,1223.63,5.88,7.38,192.5,3.43
972.79,82.3,7.48,6.16,1.32,3.95,6.33,1225,2.23,4.13,167.1,2.82
972.48,80.1,7.78,6.23,1.55,4,6.41,1222.12,3.7,5.88,192.5,3.37
973.63,80.2,7.85,6.3,1.56,4.03,6.47,1222.96,5.28,7.25,209.3,3.5
976.04,82.8,7.67,6.35,1.32,4.06,6.51,1227.45,1.25,2.38,239.2,3.17
977.92,76.4,7.54,5.76,1.78,3.67,5.89,1231.21,2.44,6.63,232.7,2.92
979.4,76.5,6.85,5.24,1.61,3.33,5.35,1239.36,0.36,1,354.6,1.57
979.99,78.4,6.52,5.11,1.41,3.25,5.21,1243.26,0.93,1.63,204.7,0.89
979.55,82.1,6.41,5.26,1.15,3.35,5.37,1243.65,1.26,2.63,141.3,0.67
979.05,78.8,6.77,5.34,1.44,3.4,5.45,1239.55,2.71,3.75,207.3,1.42
977.73,75.1,6.49,4.88,1.62,3.11,4.99,1240.71,2.02,2.88,205.9,0.84
976.02,79.8,6.28,5.01,1.27,3.2,5.14,1240.56,3.01,4,196.7,0.38
973.58,76.6,7.3,5.59,1.71,3.58,5.74,1227.8,3.58,5.63,177.1,2.47
971.17,69,7.94,5.48,2.46,3.52,5.64,1219.6,5.85,9.25,185.3,3.65
968.55,78.1,7.84,6.12,1.72,3.94,6.32,1216.75,5.59,8.88,172.7,3.48
967.1,81,7.93,6.42,1.51,4.14,6.64,1214.1,6.91,9.75,187.7,3.63
966.55,83.3,7.93,6.61,1.32,4.26,6.83,1213.31,6.18,8.63,185.9,3.63
966.81,85,8.04,6.84,1.21,4.41,7.07,1212.65,2.84,4.5,178.5,3.84
966.49,85.7,8.2,7.03,1.17,4.54,7.27,1210.96,3.16,4.38,168.8,4.11
966.36,87.9,8.08,7.1,0.98,4.58,7.35,1211.67,1.21,2.63,155.2,3.9
965.5,86.9,8.28,7.19,1.08,4.65,7.45,1209.05,2.38,3.25,210.2,4.24
965.78,78.4,9.33,7.32,2.02,4.73,7.58,1201.9,2.65,3.75,207.5,5.96
966.18,74.9,9.52,7.13,2.39,4.6,7.38,1201.29,5.69,9,210.3,6.24
967.88,72.2,9.09,6.56,2.53,4.23,6.78,1206.5,3.21,6.38,230.3,5.59
968.85,75.2,8.52,6.41,2.11,4.12,6.61,1211.83,1.24,2,220.8,4.66
970.14,80,7.99,6.39,1.6,4.11,6.59,1217.44,1.9,2.63,183.4,3.75
971.8,76.9,8.19,6.3,1.89,4.04,6.48,1218.08,1.5,2.63,181.8,4.09
